script_url	call_CanvasRenderingContext2D.arc	call_CanvasRenderingContext2D.fillRect	call_CanvasRenderingContext2D.fillText	call_CanvasRenderingContext2D.stroke	call_HTMLCanvasElement.getContext	call_HTMLCanvasElement.toDataURL	call_window.Storage.getItem	call_window.Storage.hasOwnProperty	call_window.Storage.removeItem	call_window.Storage.setItem	get_HTMLCanvasElement.style	get_window.document.cookie	get_window.document.referrer	get_window.localStorage	get_window.name	get_window.navigator.appName	get_window.navigator.appVersion	get_window.navigator.cookieEnabled	get_window.navigator.doNotTrack	get_window.navigator.geolocation	get_window.navigator.language	get_window.navigator.mimeTypes[application/futuresplash].type	get_window.navigator.mimeTypes[application/x-shockwave-flash].type	get_window.navigator.onLine	get_window.navigator.platform	get_window.navigator.plugins[Shockwave Flash].description	get_window.navigator.plugins[Shockwave Flash].filename	get_window.navigator.plugins[Shockwave Flash].length	get_window.navigator.plugins[Shockwave Flash].name	get_window.navigator.plugins[Shockwave Flash].version	get_window.navigator.product	get_window.navigator.productSub	get_window.navigator.userAgent	get_window.navigator.vendor	get_window.screen.colorDepth	get_window.screen.pixelDepth	get_window.sessionStorage	set_CanvasRenderingContext2D.fillStyle	set_CanvasRenderingContext2D.font	set_CanvasRenderingContext2D.strokeStyle	set_HTMLCanvasElement.height	set_HTMLCanvasElement.width	set_window.document.cookie	canvas_fingerprinting	canvas_font_fingerprinting	audio_context_fingerprinting	webrtc_fingerprinting	battery_fingerprinting	triggers_requests	triggers_third_party_requests	easylist_blocked	easyprivacy_blocked	disconnect_blocked	third_party_script	min_rank	num_sites	num_sites_overall	category	country
i5.walmartimages.com/dfw/63fd9f59-3090/b9195d30-a603-47dd-a92a-a8819a4b23d9/v1/polyfills-core.min.bundle-1600.0.0-68326b06db846d3469c69440789e3d9a.js	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	Unknown	Unknown
i5.walmartimages.com/beacon/beacon.js	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	Unknown	Unknown
www.walmart.com/	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	Unknown	Unknown
i5.walmartimages.com/a14/capabilities.min.js	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	2	Unknown	Unknown
9gag.com/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1	Unknown	Unknown
assets-9gag-fun.9cache.com/s/fab0aa49/d3e75354137fc00bb6508b91df63a3787284b40b/static/dist/web6/js/vendor.js	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	6	1	1	Unknown	Unknown
assets-9gag-fun.9cache.com/s/fab0aa49/d3e75354137fc00bb6508b91df63a3787284b40b/static/dist/web6/js/gag.js	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	1	Unknown	Unknown
platform.twitter.com/widgets/widget_iframe.2e9f365dae390394eb8d923cba8c5b11.html	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2	2	Unknown	Unknown
platform.twitter.com/widgets/follow_button.2e9f365dae390394eb8d923cba8c5b11.en.html	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	1	Unknown	Unknown
ads.pubmatic.com/AdServer/js/user_sync.html	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	1	Unknown	Unknown
ads.pubmatic.com/AdServer/js/showad.js	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	6	1	1	Unknown	Unknown
www.dropbox.com/	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	2	Unknown	Unknown
marketing.dropbox.com/	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	2	Unknown	Unknown
cfl.dropboxstatic.com/static/compiled/js/packaged/pkg-core.min-vflukWwni.js	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	2	2	Unknown	Unknown
cfl.dropboxstatic.com/static/compiled/js/packaged/pkg-react-15.6.2-prod.min-vflKu_pYA.js	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	2	2	Unknown	Unknown
www.googletagmanager.com/gtm.js	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	8	2	2	Unknown	Unknown
www.googleadservices.com/pagead/conversion_async.js	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	3	3	Unknown	Unknown
sjs.bizographics.com/insight.min.js	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	2	2	Unknown	Unknown
www.googleadservices.com/pagead/conversion.js	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	2	2	Unknown	Unknown
connect.facebook.net/en_US/fbevents.js	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	2	2	Unknown	Unknown
b92.yahoo.co.jp/js/s_retargeting.js	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	2	2	Unknown	Unknown
tags.tiqcdn.com/utag/dropbox/main/prod/utag.js	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	8	2	2	Unknown	Unknown
cfl.dropboxstatic.com/static/compiled/js/packaged/pkg-exception-reporting.min-vflMc3r63.js	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	2	2	Unknown	Unknown
cfl.dropboxstatic.com/static/compiled/js/packaged/pkg-timing.min-vflUljBo5.js	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	2	2	Unknown	Unknown
connect.facebook.net/signals/config/1559459634097838	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	8	2	2	Unknown	Unknown
g.alicdn.com/	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	2	2	Unknown	Unknown
g.alicdn.com/alilog/mlog/aplus_v2.js	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	2	2	Unknown	Unknown
world.taobao.com/	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	2	2	Unknown	Unknown
www.expedia.com/	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	2	2	Unknown	Unknown
b.travel-assets.com/globalcontrols-service/content/b5a3cab8a31210f0dd6ade8466958fc80d1170d5/scripts/1/en_US/globalcontrols-min.js	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	14	2	2	Unknown	Unknown
www.googletagservices.com/tag/js/gpt.js	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	3	3	Unknown	Unknown
a.travel-assets.com/bundles/storefront-web/ads-bundle/ads-exitwindow-719c9743d132c003bd3dddc1b558cebd-min.js	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	2	2	Unknown	Unknown
a.travel-assets.com/bundles/storefront-web/homepage-bundle/homepage-mercury-script-1-en_US-08dbcbfaf73213f20e14e0d233b14b50-min.js	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	14	2	2	Unknown	Unknown
b.travel-assets.com/typeahead-web/1-241/59cffd0744b535b0145240c59b91eaabe8f5e27e/script/universal_typeahead_bundle.min.js	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	2	2	Unknown	Unknown
a.travel-assets.com/uitoolkit/2-218/c0984ed8d05c8f76a9daf3c6d6912eaec95777f4/core/js/uitk-core-bundle-min.js	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	2	2	Unknown	Unknown
a.travel-assets.com/bundles/mercury-web/mercury/script-4b025c9b8b08fa5e36920b993e386f88-min.js	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	14	2	2	Unknown	Unknown
www.hotels.com/	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	1	Unknown	Unknown
a.cdn-hotels.com/da/assets/cat/js/63.0.9311/399a02cc-f5daa010-a1a6992e-0f9df215-8dc26fe0-7b8befa9-2e254091-fbece8f7-4e57bb0d-be8b66fc-9c4836e0-2a91d115-9c4fda7d-79c828ba-06bf3ea4-3e161328-b3b8732a-5e603abe-b57e884c-e9be03f1-d8868035-61006acc-7312dc63-644ce464-9294db32-dac71c58-db3f2f46-8cb8577c-87163ae6-57ddcb1d-f685edb0-60111b6a-e8243ba9-86360c33-1e7bd304-f2bc1b38-332d0743-87527386-d1e63b26-eb1e54d8-60179325-3166a241-eb0ac7b2-a69982ed-b45e20f6-98e61ffd-0307e8ac-f189e068-16a3e16a-65511728-a44eb598-0d8da874-b40e3e55-7c56453f-59825db5-a8f21a08-ed04484d-7f9eaf31-a7fa88f4-6078660c-c3282741-fc8f83e2-c6d5adde-a9cd0f25-a40b51f9-d61f8df6-f675e4ad-4a05635e-8907e76a-cc6e9b6c-65e870c8-84b5e7eb-67f03161-0141adcc-c6ad6ed6-e04e9abb-30ca233e-3e0a17a0-65033c15-29150afe-28f50a60-7a6fa9a8-e3f3094d-6dd6dfeb-003cdde0-a0bd6564-ef7dc40f-e0ce1c81-b693f737	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	17	1	1	Unknown	Unknown
www.hotels.com/static/4137eb0b623145de109258a5155c3b6	1	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	17	1	1	Unknown	Unknown
www.google-analytics.com/analytics.js	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	17	1	1	Unknown	Unknown
cdn.glassboxcdn.com/hotels/detector-dom.min.js	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	17	1	1	Unknown	Unknown
securepubads.g.doubleclick.net/gpt/pubads_impl_2019043001.js	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	17	1	1	Unknown	Unknown
securepubads.g.doubleclick.net/gpt/pubads_impl_rendering_2019043001.js	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	17	1	1	Unknown	Unknown
cdn.tagcommander.com/4285/tc_hotels_com_20.js	0	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	17	1	1	Unknown	Unknown
cdn.krxd.net/controltag/s81nqxvyd.js	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	1	1	Unknown	Unknown
cdn.krxd.net/ctjs/controltag.js.9791902f4f5b02b08a4a694e7fe1b073	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	1	1	Unknown	Unknown
www.googletagmanager.com/gtag/js	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	17	1	1	Unknown	Unknown
bat.bing.com/bat.js	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	1	1	Unknown	Unknown
